orign,origin,phonetic,parts_of_speech,postitive_degree
ぞろぞろ,ぞろぞろ,副詞,-0.373258,
ごそっと,ごそっと,副詞,-0.374511,
長らく,ながらく,副詞,-0.375333,
又もや,またもや,副詞,-0.375693,
当然,とうぜん,副詞,-0.376253,
あっけらかんと,あっけらかんと,副詞,-0.377456,
大抵,たいてい,副詞,-0.378488,
時として,ときとして,副詞,-0.37853,
比較的,ひかくてき,副詞,-0.379158,
ぺこりと,ぺこりと,副詞,-0.37989,
何分,なにぶん,副詞,-0.3799,
早早,そうそう,副詞,-0.379949,
果して,はたして,副詞,-0.381052,
どんぴしゃり,どんぴしゃり,副詞,-0.381212,
蓋し,けだし,副詞,-0.381794,
どかっと,どかっと,副詞,-0.382456,
偏に,ひとえに,副詞,-0.382933,
予て,かねて,副詞,-0.383583,
寧ろ,むしろ,副詞,-0.383819,
縦し,よし,副詞,-0.385428,
じゃんじゃん,じゃんじゃん,副詞,-0.386128,
一味,ひとあじ,副詞,-0.387123,
じわりじわり,じわりじわり,副詞,-0.388333,
どっかと,どっかと,副詞,-0.389038,
きっと,きっと,副詞,-0.389244,
極極,ごくごく,副詞,-0.389804,
さては,さては,副詞,-0.391963,
すらすら,すらすら,副詞,-0.392117,
ぱらぱら,ぱらぱら,副詞,-0.392167,
からきし,からきし,副詞,-0.392222,
忽然と,こつぜんと,副詞,-0.394156,
がらり,がらり,副詞,-0.395454,
めそめそ,めそめそ,副詞,-0.396312,
返す返す,かえすがえす,副詞,-0.396882,
間間,まま,副詞,-0.397642,
爾,じ,副詞,-0.39771,
猶,なお,副詞,-0.398619,
態態,わざわざ,副詞,-0.398762,
一味,いちみ,副詞,-0.399126,
はっきり,はっきり,副詞,-0.400024,
くねくね,くねくね,副詞,-0.401144,
たまに,たまに,副詞,-0.40135,
うかうか,うかうか,副詞,-0.40199,
当分,とうぶん,副詞,-0.403434,
ひらひら,ひらひら,副詞,-0.403626,
更更,さらさら,副詞,-0.403903,
ぽろりと,ぽろりと,副詞,-0.404167,
まじまじ,まじまじ,副詞,-0.405088,
二度と,にどと,副詞,-0.406042,
